Khoa,Ngành,Tên môn học,Hard skills
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Marketing điện tử,"Digital Marketing, Online Advertising, Marketing Analytics"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Thiết kế hệ thống TMĐT,"E-Commerce Systems, System Design, Online Platforms"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị quan hệ khách hàng và nhà cung cấp,"CRM, SRM, Customer Data Management"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Hệ thống thanh toán trực tuyến,"Online Payment Systems, Payment Gateway, Fintech"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị dự án TMĐT,"E-Commerce Project Management, Agile, Scrum"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Pháp luật trong TMĐT,"E-Commerce Law, Digital Compliance, Data Protection"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,An toàn và bảo mật TMĐT,"E-Commerce Security, Payment Security, Fraud Prevention"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Hoạch định nguồn lực doanh nghiệp,"ERP, Resource Planning, Business Integration"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Nhập môn quản trị chuỗi cung ứng,"Supply Chain Management, Logistics, Demand Planning"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Nguyên lý kế toán,"Accounting Principles, Financial Reporting, Bookkeeping"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị tài chính doanh nghiệp,"Corporate Finance, Financial Analysis, Budgeting"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị bán hàng,"Sales Management, Sales Analytics, CRM Systems"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Quản trị doanh nghiệp,"Business Management, Strategic Planning, Operations Management"
Khoa Hệ Thống Thông Tin,Thương mại điện tử,Tối ưu hóa công cụ tìm kiếm trong TMĐT,"SEO, E-Commerce SEO, Conversion Optimization"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hoạch định nguồn lực doanh nghiệp,"ERP, BPMN, Business Process, SAP, Resource Planning"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phân tích thiết kế hệ thống thông tin,"UML, Use Case, System Analysis, Requirement Analysis, SRS"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hệ quản trị cơ sở dữ liệu,"SQL, Database Design, Normalization, Transaction, Indexing"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý dự án công nghệ thông tin,"Project Management, Agile, Scrum, Jira, Risk Management"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Lập trình Java,"Java, OOP, JDBC, Multithreading, Design Patterns"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phát triển ứng dụng web,"HTML, CSS, JavaScript, PHP, REST API"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phát triển ứng dụng trên thiết bị di động,"Android, Mobile UI/UX, API Integration, Firebase, App Lifecycle"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Cơ sở dữ liệu phân tán,"Distributed Database, Replication, Sharding, Consistency, CAP Theorem"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Dữ liệu lớn,"Big Data, Hadoop, Spark, HDFS, Data Pipeline"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Khai thác dữ liệu,"Data Mining, Classification, Clustering, Association Rules, Feature Engineering"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Kho dữ liệu và OLAP,"Data Warehouse, ETL, OLAP, Star Schema, Snowflake Schema"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phân tích dữ liệu kinh doanh,"Business Analytics, KPI, Dashboard, Power BI, Data Visualization"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản trị nguồn lực y tế,"Healthcare Management, Hospital Information System, Resource Optimization, Health Data"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý dự án công nghệ thông tin y tế,"Health IT Project, HIS, EMR, Compliance, Risk Management"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Dịch tễ học,"Epidemiology, Disease Modeling, Statistical Analysis, Surveillance Data"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Hệ thống y tế,"Healthcare Systems, Health Policy, Medical Information System, Health Data Management"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý chăm sóc và điều trị,"Clinical Management, Patient Workflow, EMR, Clinical Decision Support"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản lý chuỗi cung ứng dược và thiết bị y tế,"Medical Supply Chain, Inventory Management, ERP Healthcare, Demand Forecasting"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Quản trị tài chính và bảo hiểm y tế,"Healthcare Finance, Health Insurance, Cost Analysis, Billing Systems"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,AI trong y tế,"Machine Learning, Medical AI, Predictive Modeling, Health Data Analytics"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Thống kê y học,"Biostatistics, Hypothesis Testing, Regression Analysis, R"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Xử lý ảnh Y khoa,"Medical Imaging, Image Processing, CNN, Deep Learning, DICOM"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Cơ sở hạ tầng công nghệ thông tin,"IT Infrastructure, Cloud Computing, Networking, Virtualization, System Administration"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Quản lý thông tin,"Information Management, Data Governance, Metadata, Data Quality, Information Systems"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Internet và công nghệ Web,"Internet Architecture, HTTP, Web Technologies, Client–Server, Web Protocols"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Nhập môn bảo đảm và an ninh thông tin,"Information Security, Cryptography, Access Control, Network Security, Risk Assessment"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Thiết kế giao diện người dùng,"UI Design, UX Design, Wireframing, Prototyping, Usability Testing"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Phân tích thiết kế phần mềm,"Software Analysis, UML, Software Architecture, Design Patterns, Requirement Engineering"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Kỹ thuật phát triển hệ thống Web,"Web Architecture, Backend Development, REST API, MVC, Web Security"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Công nghệ lập trình đa nền tảng cho ứng dụng di động,"Cross-platform Development, Flutter, React Native, Mobile Architecture, API Integration"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Phân tích và mô hình mạng xã hội,"Social Network Analysis, Graph Theory, Network Modeling, Centrality, Community Detection"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Khai thác dữ liệu truyền thông xã hội,"Social Media Mining, Text Mining, Sentiment Analysis, Social Data Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Hệ khuyến nghị,"Recommender Systems, Collaborative Filtering, Content-based Filtering, Matrix Factorization"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Hệ thống quản trị qui trình nghiệp vụ,"BPM, BPMN, Workflow Management, Business Process Automation"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Tối ưu hóa công cụ tìm kiếm (SEO),"SEO, Keyword Research, On-page SEO, Technical SEO, Web Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Công nghệ Java,"Java, Spring Framework, Java EE, RESTful Services, JVM"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Tư duy thiết kế,"Design Thinking, User-centered Design, Problem Solving, Ideation"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Quản trị quan hệ khách hàng,"CRM, Customer Data Management, Customer Analytics, Sales Management"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Thiết kế hệ thống học máy,"Machine Learning Systems, Model Architecture, MLOps, Model Deployment"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Xử lý dữ liệu thống kê,"Statistical Processing, Probability, Hypothesis Testing, Statistical Modeling"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Kỹ thuật lập trình Python,"Python, OOP Python, Data Structures, Libraries (NumPy, Pandas)"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Tiền xử lý và xây dựng bộ dữ liệu,"Data Preprocessing, Data Cleaning, Feature Engineering, Dataset Construction"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Phân tích và trực quan dữ liệu,"Data Analysis, Data Visualization, Matplotlib, Seaborn, Dashboard"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Công nghệ Dữ liệu lớn (Big Data),"Big Data, Hadoop, Spark, Distributed Computing, Data Lake"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Kiến trúc và tích hợp hệ thống,"System Architecture, System Integration, SOA, Microservices, API Gateway"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Hệ thống thông tin địa lý 3 chiều (GIS),"3D GIS, Spatial Data, Geospatial Analysis, GIS Modeling"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Phân tích dữ liệu truyền thông xã hội,"Social Media Analytics, Trend Analysis, User Behavior Analysis"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Khai phá dữ liệu trong doanh nghiệp,"Enterprise Data Mining, Business Intelligence, Predictive Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Các công nghệ nền,"Operating Systems, Networking, Databases, Cloud Platforms"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Công Nghệ Thông Tin,Quản trị doanh nghiệp công nghệ thông tin,"IT Governance, IT Strategy, Enterprise Architecture, Digital Transformation"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Nhập môn trí tuệ nhân tạo,"Artificial Intelligence, Search Algorithms, Knowledge-based Systems, Heuristics"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Các hệ cơ sở tri thức,"Knowledge-based Systems, Expert Systems, Rule-based Systems, Inference Engine"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Biểu diễn tri thức và suy luận,"Knowledge Representation, Logical Reasoning, Ontology, Description Logic"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Trí tuệ nhân tạo nâng cao,"Advanced AI, Probabilistic Reasoning, Reinforcement Learning, Planning"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Hệ thống đa tác tử,"Multi-agent Systems, Agent Communication, Distributed AI, Coordination"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Khai thác dữ liệu và ứng dụng,"Data Mining, Classification, Clustering, Association Rules, Applications"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Lập trình symbolic trong trí tuệ nhân tạo,"Symbolic AI, Logic Programming, Prolog, Rule-based Programming"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Máy học nâng cao,"Advanced Machine Learning, Deep Learning, Ensemble Methods, Model Optimization"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Các hệ giải bài toán thông minh,"Intelligent Problem Solving, Constraint Satisfaction, Search Techniques"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Xử lý ngôn ngữ tự nhiên,"NLP, Text Processing, Tokenization, Language Models"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Ngữ nghĩa học tính toán,"Computational Semantics, Semantic Parsing, Ontologies, Knowledge Graphs"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Ngôn ngữ học máy tính,"Computational Linguistics, Syntax Analysis, Morphological Analysis"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Xử lý ngôn ngữ tự nhiên nâng cao,"Advanced NLP, Transformers, Large Language Models, Contextual Embeddings"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Máy học trong xử lý ngôn ngữ tự nhiên,"ML for NLP, Text Classification, Sequence Modeling, Fine-tuning"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Các hệ thống hỏi-đáp,"Question Answering, Information Retrieval, NLP Pipelines, Knowledge-based QA"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Ngôn ngữ học ngữ liệu,"Corpus Linguistics, Text Corpora, Statistical Linguistics, Annotation"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Dịch máy,"Machine Translation, Neural MT, Seq2Seq, Attention Mechanism"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Máy học,"Machine Learning, Supervised Learning, Unsupervised Learning, Model Evaluation"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Tính toán Đa phương tiện,"Multimedia Computing, Multimodal Data, Feature Extraction"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Truy vấn thông tin đa phương tiện,"Multimedia Retrieval, Content-based Retrieval, Similarity Search"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Xử lý âm thanh và tiếng nói,"Audio Processing, Speech Processing, Signal Processing, Feature Extraction"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Tổng hợp tiếng nói,"Text-to-Speech, Speech Synthesis, Acoustic Modeling"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Nhập môn Thị giác máy tính,"Computer Vision, Image Processing, Feature Detection, OpenCV"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Thị giác máy tính nâng cao,"Advanced Computer Vision, Deep Vision, CNN, Object Detection"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Nhận dạng,"Pattern Recognition, Classification, Feature Extraction, Recognition Systems"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Thị giác máy tính trong tương tác người – máy,"Human-Computer Interaction, Gesture Recognition, Vision-based Interaction"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Đồ họa máy tính,"Computer Graphics, 3D Modeling, Rendering, OpenGL"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Trí tuệ nhân tạo nâng cao,"Advanced AI, Reinforcement Learning, Probabilistic Models, Planning"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Máy học nâng cao,"Advanced Machine Learning, Ensemble Methods, Model Optimization, Deep Models"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Mạng Neural và Thuật giải di truyền,"Neural Networks, Genetic Algorithms, Evolutionary Computing, Optimization"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Các kĩ thuật học sâu và ứng dụng,"Deep Learning, CNN, RNN, Transformers"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Các hệ cơ sở tri thức,"Knowledge-based Systems, Expert Systems, Rule-based Reasoning"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Logic mờ và ứng dụng,"Fuzzy Logic, Fuzzy Inference, Decision Systems"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Xử lý ảnh và ứng dụng,"Image Processing, Feature Extraction, Computer Vision"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Truy xuất thông tin,"Information Retrieval, Search Engines, Ranking Algorithms"
Khoa Khoa Học Máy Tính,Trí Tuệ Nhân Tạo,Web ngữ nghĩa,"Semantic Web, RDF, OWL, Knowledge Graphs"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Học máy thống kê,"Statistical Machine Learning, Bayesian Models, Probabilistic Inference"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thu thập và tiền xử lý dữ liệu,"Data Collection, Data Cleaning, Data Preprocessing"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích dữ liệu lớn,"Big Data Analytics, Spark, Distributed Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Deep Learning trong khoa học dữ liệu,"Deep Learning, Data Science, Predictive Modeling"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Trí tuệ nhân tạo cho hệ thống nhúng,"Embedded AI, Edge AI, Real-time Systems"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Trí tuệ nhân tạo cho IoT,"AIoT, Sensor Data Analytics, Edge Computing"
Khoa Hệ Thống Thông Tin,Kỹ Thuật Máy Tính,Cơ sở dữ liệu phân tán,"Distributed Databases, Replication, Sharding, Consistency"
Khoa Hệ Thống Thông Tin,Hệ Thống Thông Tin,Phân tích dữ liệu kinh doanh,"Business Analytics, KPI Analysis, Decision Support"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Kiểm chứng phần mềm,"Software Verification, Testing, Validation, Quality Assurance"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Kỹ thuật phân tích yêu cầu,"Requirement Analysis, Use Cases, User Stories"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Quản lý dự án phát triển phần mềm,"Software Project Management, Agile, Scrum"
Khoa Mạng Máy Tính Và Truyền Thông,MMT&TTDL,Giải thuật xử lý song song và phân bố,"Parallel Algorithms, Distributed Computing, MapReduce"
Khoa Mạng Máy Tính Và Truyền Thông,MMT&TTDL,AI ứng dụng trong mạng và truyền thông,"AI for Networking, Network Optimization, Traffic Analysis"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Phương pháp luận nghiên cứu khoa học,"Research Methodology, Experimental Design, Data Analysis"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Các vấn đề nghiên cứu và ứng dụng trong khoa học máy tính,"Computer Science Research, Applied Research, Emerging Technologies"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Đồ họa game,"Game Graphics, Rendering, Shaders, 3D Graphics"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Thực tại ảo,"Virtual Reality, VR Interaction, Immersive Systems"
Khoa Khoa Học Máy Tính,Khoa Học Máy Tính,Cấu trúc dữ liệu và giải thuật nâng cao,"Advanced Data Structures, Algorithm Design, Complexity Analysis"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Ngôn ngữ lập trình Java,"Java, OOP, Collections, Multithreading, JVM"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Chuyên đề CSDL nâng cao,"Advanced SQL, Query Optimization, Indexing, Stored Procedures, Transactions"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Các phương pháp lập trình,"Programming Paradigms, OOP, Functional Programming, Procedural Programming"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ Web và ứng dụng,"Web Development, HTML, CSS, JavaScript, Web Frameworks"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Chuyên đề E-learning,"E-learning Systems, LMS, SCORM, Online Education Platforms"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ Portal,"Web Portal, Content Management, User Authentication, Integration"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Máy học và các công cụ,"Machine Learning, Scikit-learn, TensorFlow, PyTorch"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ .NET,".NET Framework, C#, ASP.NET, Entity Framework"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Lập trình trên thiết bị di động,"Mobile Development, Android, iOS, Mobile APIs"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Chuyên đề E-Government,"E-Government Systems, Digital Services, Public Information Systems"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Chuyên đề E-Commerce,"E-Commerce Systems, Online Payment, Shopping Cart, Order Management"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Một số thuật toán thông minh,"Intelligent Algorithms, Heuristic Algorithms, Genetic Algorithms, Search Algorithms"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Phát triển ứng dụng VR,"Virtual Reality, Unity, VR Interaction, 3D Environments"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,"Phát triển, vận hành, bảo trì phần mềm","Software Development Lifecycle, DevOps, CI/CD, Software Maintenance"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Kiến trúc phần mềm,"Software Architecture, Layered Architecture, Microservices, Design Patterns"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Kỹ thuật phân tích yêu cầu,"Requirement Analysis, Use Case, User Stories, Stakeholder Analysis"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Chuyên đề J2EE,"J2EE, Java EE, Servlet, JSP, Enterprise Applications"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Phương pháp mô hình hóa,"Modeling Methods, UML, BPMN, System Modeling"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Đặc tả hình thức,"Formal Specification, Formal Methods, Z Language, Model Checking"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ phần mềm chuyên sâu,"Advanced Software Engineering, Software Quality, Refactoring, Testing"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,An toàn phần mềm và hệ thống,"Software Security, Secure Coding, Vulnerability Analysis, System Security"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Phát triển ứng dụng trên nền tảng dữ liệu lớn,"Big Data Applications, Spark, Hadoop, Distributed Processing"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Thiết kế giao diện và trải nghiệm người dùng,"UI Design, UX Design, Interaction Design, Usability Testing"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Học sâu ứng dụng trong phát triển phần mềm,"Deep Learning, Neural Networks, AI Applications, Model Integration"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Lập trình game nâng cao,"Advanced Game Programming, Game Engines, Performance Optimization"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Thiết kế game,"Game Design, Game Mechanics, Level Design, Game Balancing"
