Khoa,Ngành,Tên môn học,Hard skills
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Lập trình đồ họa 3 chiều với Direct 3D,"3D Graphics Programming, Direct3D, Rendering Pipeline, Shader Programming"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Phát triển và vận hành game,"Game Development, Game Deployment, LiveOps, Game Maintenance"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Lập trình TTNT trong game,"Game AI, Pathfinding, Behavior Trees, Decision Making"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Lập trình game trên các thiết bị di động,"Mobile Game Development, Unity, Mobile Optimization"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ game 3D,"3D Game Technology, Game Engines, Physics Engines"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ Game Online,"Online Game Technology, Client–Server Architecture, Networking"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Phát triển Game đa nền tảng,"Cross-platform Game Development, Unity, Unreal Engine"
Khoa Công Nghệ Phần Mềm,Kỹ Thuật Phần Mềm,Công nghệ tiên tiến trong phát triển game,"Advanced Game Technology, AR/VR Games, AI in Games"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Thiết kế hệ thống nhúng không dây,"Wireless Embedded Systems, Embedded Networking, Low-power Communication, MCU"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Lập trình song song và Hệ thống phân tán,"Parallel Programming, Distributed Systems, Multithreading, MPI"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Công nghệ IoT và Ứng dụng,"IoT, MQTT, Sensor Networks, Cloud IoT"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Trí tuệ nhân tạo cho hệ thống nhúng,"Embedded AI, Edge AI, TinyML, Real-time AI"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Kỹ thuật hệ thống máy tính,"Computer Systems, Operating Systems, System Architecture, Performance Analysis"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Hệ thống thông minh,"Intelligent Systems, Decision Systems, AI Integration"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Công nghệ cảm biến trong IoT,"Sensors, Signal Acquisition, Sensor Data Processing, Calibration"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Thiết kế hệ thống nhúng không dây,"Wireless Embedded Systems, Embedded Networking, Low-power Communication, MCU"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Lập trình song song và Hệ thống phân tán,"Parallel Programming, Distributed Systems, Multithreading, MPI"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Công nghệ IoT và Ứng dụng,"IoT, MQTT, Sensor Networks, Cloud IoT"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Trí tuệ nhân tạo cho hệ thống nhúng,"Embedded AI, Edge AI, TinyML, Real-time AI"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Kỹ thuật hệ thống máy tính,"Computer Systems, Operating Systems, System Architecture, Performance Analysis"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Hệ thống thông minh,"Intelligent Systems, Decision Systems, AI Integration"
Khoa Kỹ Thuật Máy Tính,Kỹ Thuật Máy Tính,Công nghệ cảm biến trong IoT,"Sensors, Signal Acquisition, Sensor Data Processing, Calibration"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Vi xử lý – vi điều khiển,"Microprocessors, Microcontrollers, Assembly, Embedded C"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thực hành Kiến trúc Máy tính,"Computer Architecture, CPU Design, Memory Hierarchy, Pipelining"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Kỹ thuật phân tích mạch,"Circuit Analysis, Analog Circuits, Network Theorems"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Các thiết bị và mạch điện tử,"Electronic Devices, Analog Electronics, Digital Electronics"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế luận lý số,"Digital Logic Design, Boolean Algebra, FSM"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế hệ thống số với HDL,"HDL, Verilog, VHDL, RTL Design"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Vật lý bán dẫn và ứng dụng,"Semiconductor Physics, PN Junction, MOSFET"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Kỹ thuật thiết kế kiểm tra,"Design for Testability, Fault Modeling, Test Automation"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế VLSI,"VLSI Design, CMOS Design, IC Layout"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế hệ thống SoC,"System on Chip, IP Integration, Hardware–Software Co-design"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Xử lý tín hiệu số và ứng dụng,"Digital Signal Processing, Filtering, FFT"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Tối ưu hoá cho FPGA,"FPGA Optimization, Timing Analysis, Resource Optimization"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế bộ tăng tốc phần cứng,"Hardware Accelerator Design, High-Level Synthesis, Parallel Processing"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Hệ thống nhúng trên SoC,"Embedded SoC, ARM Architecture, Embedded Linux"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Xử lý tín hiệu số trên FPGA,"FPGA DSP, Hardware Signal Processing, Verilog DSP"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Xử lý ảnh hướng ASIC,"Image Processing ASIC, Hardware Image Processing"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Tự động hóa thiết kế vi mạch,"EDA Tools, Design Automation, Synthesis Flow"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế vi mạch tương tự,"Analog IC Design, Amplifiers, Biasing Circuits"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế vi mạch hỗn hợp,"Mixed-Signal IC Design, ADC/DAC, PLL"
Khoa Kỹ Thuật Máy Tính,Thiết Kế Vi Mạch,Thiết kế vật lý vi mạch,"Physical Design, Floorplanning, Place & Route"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Truyền thông và dư luận xã hội,"Social Communication, Public Opinion Analysis, Media Analytics"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Học sâu ứng dụng trong truyền thông đa phương tiện,"Deep Learning, Multimedia AI, Content Analysis"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Xử lý ngôn ngữ tự nhiên cho truyền thông đa phương tiện,"NLP, Sentiment Analysis, Text Mining"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Xử lý ảnh số và video trong TTĐPT,"Image Processing, Video Processing, Computer Vision"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Phân tích và hiểu nội dung đa phương thức,"Multimodal Analysis, Text–Image Fusion, Multimodal AI"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Dữ liệu lớn ứng dụng trong truyền thông đa phương tiện,"Big Data Analytics, Media Data, Spark"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Hệ thống khai phá dữ liệu mạng xã hội,"Social Media Mining, Network Analysis, Trend Detection"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Chuyên đề các vấn đề hiện đại trong TTĐPT,"Emerging Media Technologies, Multimedia Systems"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,An ninh thông tin trong truyền thông đa phương tiện,"Multimedia Security, Data Privacy, Digital Rights Management"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thiết kế giao diện người dùng,"UI Design, UX Design, Interaction Design"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Công nghệ Web và ứng dụng,"Web Development, HTML, CSS, JavaScript"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Thiết kế và sản xuất ấn phẩm,"Graphic Design, Layout Design, Digital Publishing"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Nghiệp vụ truyền thông và báo chí,"Journalism Skills, Content Production, Media Ethics"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Kỹ thuật quay phim biên kịch và hậu kỳ,"Video Production, Scriptwriting, Post-production"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Thực tế ảo và thực tế tăng cường,"Virtual Reality, Augmented Reality, Immersive Media"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Hoạt hình,"Animation, Motion Graphics, 2D/3D Animation"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Quản lý dự án truyền thông đa phương tiện,"Media Project Management, Production Planning"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Nhập môn phát triển game,"Game Development, Game Engines, Game Design Basics"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Quản trị sự kiện,"Event Management, Event Planning, Media Coordination"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Chiến lược phát triển thương hiệu,"Brand Strategy, Brand Management"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Quan hệ công chúng trong marketing,"Public Relations, Media Relations, Communication Strategy"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Tối ưu hóa và tiếp thị trên công cụ tìm kiếm,"SEO, SEM, Google Analytics"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Tiếp thị cho sản phẩm dịch vụ,"Marketing Strategy, Product Marketing"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Xây dựng kênh tiếp thị trực tuyến,"Digital Marketing, Social Media Marketing, Content Marketing"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Quản trị mối quan hệ khách hàng định hướng dữ liệu,"Data-driven CRM, Customer Analytics, Marketing Automation"
Khoa Công Nghệ Phần Mềm,Truyền Thông Đa Phương Tiện,Phân tích dữ liệu truyền thông số,"Digital Media Analytics, User Behavior Analysis, Data Visualization"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Đánh giá hiệu năng hệ thống mạng máy tính,"Network Performance Analysis, Throughput, Latency, QoS"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Công nghệ Internet of Things hiện đại,"IoT, Edge Computing, MQTT, Cloud IoT"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Hệ tính toán phân bố,"Distributed Computing, Cluster Computing, Fault Tolerance"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Công nghệ truyền thông đa phương tiện,"Multimedia Communication, Streaming, Real-time Media"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Công nghệ mạng viễn thông,"Telecommunication Networks, Switching, Routing"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Giải thuật xử lý song song và phân bố,"Parallel Algorithms, Distributed Algorithms, MapReduce"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Mạng không dây thế hệ mới,"Wireless Networks, 5G, WiFi 6, Network Mobility"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Lập trình kịch bản tự động hóa cho quản trị và bảo mật mạng,"Network Automation, Python Scripting, DevSecOps"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Tín hiệu và hệ thống thông tin,"Signals and Systems, Signal Processing, System Analysis"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Bảo mật Internet of Things,"IoT Security, Device Authentication, Secure Communication"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Thiết kế hệ thống viễn thông,"Telecom System Design, Network Planning, Capacity Planning"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Thiết kế và triển khai mạng tốc độ cao,"High-speed Networks, Network Design, Performance Optimization"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Lập trình hệ thống,"System Programming, C/C++, Operating Systems"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Lập trình ứng dụng mạng,"Network Programming, Socket Programming, TCP/IP"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập","IDS/IPS, Intrusion Detection, Network Security"
Khoa Mạng Máy Tính Và Truyền Thông,Mạng máy tính và Truyền thông dữ liệu,Thiết bị mạng và truyền thông đa phương tiện,"Networking Devices, Routers & Switches, Media Transmission"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Lập trình mạng căn bản,"Network Programming, Socket Programming, TCP/IP"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,An toàn mạng,"Network Security, Firewall, Access Control"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Cơ chế hoạt động của mã độc,"Malware Analysis, Attack Techniques, Reverse Engineering"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Quản trị mạng và hệ thống,"Network Administration, System Administration, Monitoring"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Mật mã học,"Cryptography, Encryption, Digital Signatures"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Lập trình hệ thống,"System Programming, C/C++, OS Internals"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Lập trình ứng dụng web,"Web Development, Backend Programming, REST API"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Lập trình an toàn và khai thác lỗ hổng phần mềm,"Secure Coding, Vulnerability Exploitation, OWASP"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập","IDS/IPS, Intrusion Detection, Threat Prevention"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,An toàn mạng không dây và di động,"Wireless Security, Mobile Security, Secure Communication"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Quản lý rủi ro và an toàn thông tin trong doanh nghiệp,"Information Security Management, Risk Management, ISO 27001"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Điều tra số,"Digital Forensics, Incident Response, Evidence Analysis"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Phân tích mã độc,"Malware Analysis, Static Analysis, Dynamic Analysis"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Kiểm thử xâm nhập mạng máy tính,"Penetration Testing, Ethical Hacking, Vulnerability Assessment"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Bảo mật cơ sở dữ liệu,"Database Security, Access Control, Data Encryption"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Công nghệ Blockchain và Ứng dụng,"Blockchain, Smart Contracts, Distributed Ledger"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Bảo mật Internet of Things,"IoT Security, Device Security, Secure Protocols"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,An toàn mạng nâng cao,"Advanced Network Security, Threat Intelligence, Zero Trust"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,"Điện toán đám mây: nền tảng, ứng dụng và bảo mật","Cloud Computing, Cloud Security, AWS/Azure"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Phát triển ứng dụng trên thiết bị di động,"Mobile Development, Android"
Khoa Mạng Máy Tính Và Truyền Thông,An Toàn Thông Tin,Phương pháp học máy trong an toàn thông tin,"ML for Security, Anomaly Detection, Threat Detection"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thiết kế và phân tích thực nghiệm,"Experimental Design, A/B Testing, Statistical Evaluation"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích dữ liệu truyền thông xã hội,"Social Media Analytics, Sentiment Analysis, Trend Analysis"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích dữ liệu lớn,"Big Data Analytics, Spark, Distributed Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích Kho dữ liệu,"Data Warehouse Analysis, OLAP, Multidimensional Data"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thiết kế ứng dụng với dữ liệu chuyên sâu,"Data-driven Applications, Data Architecture, Scalable Systems"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Tính toán song song và phân tán,"Parallel Computing, Distributed Computing, MapReduce"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Khai phá dữ liệu trong doanh nghiệp,"Enterprise Data Mining, Business Intelligence, Predictive Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thiết kế hệ thống Học máy,"Machine Learning Systems, MLOps, Model Deployment"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Đạo đức trong Trí tuệ nhân tạo và Khoa học dữ liệu,"AI Ethics, Responsible AI, Data Privacy"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích dữ liệu lớn trong tài chính,"Financial Data Analytics, Risk Analysis, Big Data Finance"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích dữ liệu chuỗi thời gian và ứng dụng,"Time Series Analysis, Forecasting, ARIMA"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Khai thác dữ liệu truyền thông xã hội,"Social Media Mining, Network Analysis, User Behavior"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Đồ án Khoa học dữ liệu và ứng dụng,"Data Science Projects, End-to-end Pipeline, Model Evaluation"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Deep Learning trong Khoa học dữ liệu,"Deep Learning, Neural Networks, Predictive Modeling"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Xử lý ngôn ngữ tự nhiên cho Khoa học dữ liệu,"NLP, Text Analytics, Language Models"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Tối ưu hoá và ứng dụng,"Optimization Algorithms, Numerical Optimization"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Xử lý ảnh y khoa,"Medical Image Processing, Computer Vision, Deep Vision"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Xử lý thông tin giọng nói,"Speech Processing, Audio Signal Processing, ASR"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Rút trích và truy vấn thông tin,"Information Extraction, Information Retrieval, Search Systems"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Các mô hình nền tảng,"Foundation Models, Pretrained Models, Transfer Learning"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Mô hình ngôn ngữ lớn,"Large Language Models, Transformers, Prompt Engineering"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Học đa thể thức,"Multimodal Learning, Text–Image Models, Multimodal AI"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Khoa học dữ liệu cho An toàn thông tin,"Security Data Science, Anomaly Detection, Threat Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Khai thác dữ liệu ảnh số,"Image Data Mining, Feature Extraction, Vision Analytics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Hệ khuyến nghị,"Recommender Systems, Collaborative Filtering, Personalization"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Khai phá dữ liệu đa phương tiện và ứng dụng,"Multimedia Data Mining, Content Analysis, Multimedia AI"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích thống kê đa biến,"Multivariate Statistics, PCA, Factor Analysis"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Thống kê Bayes,"Bayesian Statistics, Bayesian Inference, Probabilistic Models"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Mô hình đồ thị xác suất,"Probabilistic Graphical Models, Bayesian Networks, Markov Models"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Quản lý thông tin,"Information Management, Data Governance, Metadata"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích thiết kế phần mềm,"Software Analysis, UML, System Design"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Internet và công nghệ Web,"Web Technologies, HTTP, Client–Server"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Kỹ năng nghiên cứu và viết bài báo khoa học,"Scientific Research, Academic Writing, Literature Review"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Viết báo cáo kỹ thuật và thuyết trình,"Technical Writing, Data Presentation, Visualization"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Ngôn ngữ học ngữ liệu,"Corpus Linguistics, Text Corpora, Statistical NLP"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Mạng neural và thuật giải di truyền,"Neural Networks, Genetic Algorithms, Evolutionary Computing"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Phân tích và thiết kế thuật toán,"Algorithm Design, Complexity Analysis, Optimization"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Lập trình Python cho Máy học,"Python, Scikit-learn, ML Libraries"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Toán cho Khoa học máy tính,"Linear Algebra, Probability, Discrete Mathematics"
Khoa Khoa Học và Kỹ Thuật Thông Tin,Khoa Học Dữ Liệu,Xử lý ảnh và ứng dụng,"Image Processing, Feature Extraction, Computer Vision"
